"from","to","trial","spatial_weight"
"Y01","Y02",1,0.95687297072802
"Y01","Y03",1,0.864956202843977
"Y01","Y04",1,0.844828489726982
"Y01","Y05",1,0.817843987396519
"Y01","Y06",1,0.805993533855525
"Y01","Y07",1,0.782525089757328
"Y01","Y08",1,0.754982618926488
"Y01","Y09",1,0.715415034189861
"Y01","Y10",1,0.745409614958393
"Y01","Y11",1,0.859488058785408
"Y01","Y14",1,0.363449170543939
"Y01","Y16",1,0.487565463660666
"Y01","Y17",1,0.476317595045771
"Y01","Y18",1,0.433502697468561
"Y01","Y19",1,0.730905974153329
"Y01","Y20",1,0.711378096511157
"Y01","Y21",1,0.695030413584999
"Y01","Y22",1,0.689071793445635
"Y01","Y23",1,0.470130100593075
"Y01","Y24",1,0.421148286570233
"Y01","Y25",1,0.351206125979539
"Y01","Y26",1,0.318030182101099
"Y01","Y27",1,0.236815725122916
"Y01","Y28",1,0.207973849701459
"Y01","Y29",1,0.173249749468595
"Y01","Y30",1,0.169651580622116
"Y02","Y01",1,0.956872970727502
"Y02","Y03",1,0.922609764032476
"Y02","Y04",1,0.90097930016535
"Y02","Y05",1,0.872057332588788
"Y02","Y06",1,0.858494319197028
"Y02","Y07",1,0.832626873150023
"Y02","Y08",1,0.801937589717383
"Y02","Y09",1,0.761694208705065
"Y02","Y10",1,0.785771305837091
"Y02","Y11",1,0.911098910921416
"Y02","Y14",1,0.412840382260652
"Y02","Y16",1,0.532137287933752
"Y02","Y17",1,0.519893968713586
"Y02","Y18",1,0.474971165576139
"Y02","Y19",1,0.767032825195595
"Y02","Y20",1,0.741070001101418
"Y02","Y21",1,0.720271325828982
"Y02","Y22",1,0.708682759099776
"Y02","Y23",1,0.480762271171761
"Y02","Y24",1,0.431168287414557
"Y02","Y25",1,0.360757711626977
"Y02","Y26",1,0.32647593420322
"Y02","Y27",1,0.2436064326545
"Y02","Y28",1,0.214387616863282
"Y02","Y29",1,0.179492758868826
"Y02","Y30",1,0.17921907966081
"Y03","Y01",1,0.864956202844774
"Y03","Y02",1,0.922609764033232
"Y03","Y04",1,0.988085384637833
"Y03","Y05",1,0.95564491852077
"Y03","Y06",1,0.93826526097407
"Y03","Y07",1,0.908506566876614
"Y03","Y08",1,0.872896815985068
"Y03","Y09",1,0.833836375055197
"Y03","Y10",1,0.843566669392827
"Y03","Y11",1,0.941382084790317
"Y03","Y14",1,0.477004081907331
"Y03","Y16",1,0.583400786517654
"Y03","Y17",1,0.569167480560458
"Y03","Y18",1,0.520499190945849
"Y03","Y19",1,0.788041951877778
"Y03","Y20",1,0.751327138166182
"Y03","Y21",1,0.723825113533013
"Y03","Y22",1,0.703127550937646
"Y03","Y23",1,0.469648764256155
"Y03","Y24",1,0.420140571771708
"Y03","Y25",1,0.350220728381976
"Y03","Y26",1,0.314690456077576
"Y03","Y27",1,0.230252377193998
"Y03","Y28",1,0.200757780637959
"Y03","Y29",1,0.165944652448687
"Y03","Y30",1,0.170955314125019
"Y04","Y01",1,0.844828489726377
"Y04","Y02",1,0.900979300165089
"Y04","Y03",1,0.988085384637833
"Y04","Y05",1,0.982567738815632
"Y04","Y06",1,0.965118915017845
"Y04","Y07",1,0.935247437840597
"Y04","Y08",1,0.899388270373947
"Y04","Y09",1,0.860605897670648
"Y04","Y10",1,0.868342656959407
"Y04","Y11",1,0.918141151121155
"Y04","Y14",1,0.475979518546326
"Y04","Y16",1,0.57675859075125
"Y04","Y17",1,0.561918563757576
"Y04","Y18",1,0.512265042085272
"Y04","Y19",1,0.770091359100958
"Y04","Y20",1,0.731693456055789
"Y04","Y21",1,0.703239959388269
"Y04","Y22",1,0.681154860428162
"Y04","Y23",1,0.447898897057763
"Y04","Y24",1,0.398535264983265
"Y04","Y25",1,0.328853791821079
"Y04","Y26",1,0.293173033840433
"Y04","Y27",1,0.208596947568833
"Y04","Y28",1,0.179094449704946
"Y04","Y29",1,0.144338485749451
"Y04","Y30",1,0.150286738130349
"Y05","Y01",1,0.817843987396631
"Y05","Y02",1,0.87205733258849
"Y05","Y03",1,0.955644918520775
"Y05","Y04",1,0.982567738815625
"Y05","Y06",1,0.99684131509757
"Y05","Y07",1,0.966913972228839
"Y05","Y08",1,0.930623059193287
"Y05","Y09",1,0.892586338936411
"Y05","Y10",1,0.896360088475572
"Y05","Y11",1,0.888551983102406
"Y05","Y14",1,0.474019835701775
"Y05","Y16",1,0.567733004094343
"Y05","Y17",1,0.552247101343856
"Y05","Y18",1,0.501626149964162
"Y05","Y19",1,0.747165946345654
"Y05","Y20",1,0.707224556075443
"Y05","Y21",1,0.677870906688835
"Y05","Y22",1,0.654347763863278
"Y05","Y23",1,0.421726573678097
"Y05","Y24",1,0.372577861976133
"Y05","Y25",1,0.303232162852165
"Y05","Y26",1,0.267399678712035
"Y05","Y27",1,0.182710438029518
"Y05","Y28",1,0.153213516035246
"Y05","Y29",1,0.118542025268709
"Y05","Y30",1,0.125602968232006
"Y06","Y01",1,0.805993533855404
"Y06","Y02",1,0.858494319197011
"Y06","Y03",1,0.938265260974019
"Y06","Y04",1,0.965118915017869
"Y06","Y05",1,0.996841315098032
"Y06","Y07",1,0.9850187298713
"Y06","Y08",1,0.948786483338632
"Y06","Y09",1,0.910480447714005
"Y06","Y10",1,0.913918967759496
"Y06","Y11",1,0.870378639161175
"Y06","Y14",1,0.465967658365414
"Y06","Y16",1,0.556218794140532
"Y06","Y17",1,0.540472592786882
"Y06","Y18",1,0.489495695828878
"Y06","Y19",1,0.730264327388108
"Y06","Y20",1,0.689963792720736
"Y06","Y21",1,0.660412153942749
"Y06","Y22",1,0.636587042130937
"Y06","Y23",1,0.404156267668468
"Y06","Y24",1,0.355065991593704
"Y06","Y25",1,0.285812677763035
"Y06","Y26",1,0.249946380814567
"Y06","Y27",1,0.165237372863443
"Y06","Y28",1,0.135744372898972
"Y06","Y29",1,0.10109691383289
"Y06","Y30",1,0.108453620631436
"Y07","Y01",1,0.782525089757371
"Y07","Y02",1,0.832626873150266
"Y07","Y03",1,0.908506566876688
"Y07","Y04",1,0.935247437840506
"Y07","Y05",1,0.966913972228709
"Y07","Y06",1,0.985018729871393
"Y07","Y08",1,0.978644325888724
"Y07","Y09",1,0.940345459904539
"Y07","Y10",1,0.940711479455768
"Y07","Y11",1,0.840568258065524
"Y07","Y14",1,0.454623049457738
"Y07","Y16",1,0.538868863717299
"Y07","Y17",1,0.522715719888889
"Y07","Y18",1,0.471223797554415
"Y07","Y19",1,0.703296047235206
"Y07","Y20",1,0.66237057162615
"Y07","Y21",1,0.632451223134694
"Y07","Y22",1,0.608002258085792
"Y07","Y23",1,0.376055534061964
"Y07","Y24",1,0.327101552414825
"Y07","Y25",1,0.258058692205763
"Y07","Y26",1,0.222125890650704
"Y07","Y27",1,0.137385722086182
"Y07","Y28",1,0.107904710011768
"Y07","Y29",1,0.0733132072587804
"Y07","Y30",1,0.0812932256793668
"Y08","Y01",1,0.754982618926508
"Y08","Y02",1,0.801937589717438
"Y08","Y03",1,0.872896815985233
"Y08","Y04",1,0.899388270373785
"Y08","Y05",1,0.930623059193172
"Y08","Y06",1,0.948786483338764
"Y08","Y07",1,0.978644325888748
"Y08","Y09",1,0.974711865970932
"Y08","Y10",1,0.971325777175203
"Y08","Y11",1,0.804208874030486
"Y08","Y14",1,0.434992267646504
"Y08","Y16",1,0.512796586986991
"Y08","Y17",1,0.496282432641101
"Y08","Y18",1,0.444393749764312
"Y08","Y19",1,0.668396018003209
"Y08","Y20",1,0.627072987205582
"Y08","Y21",1,0.596923769606378
"Y08","Y22",1,0.572092182138684
"Y08","Y23",1,0.340505597630841
"Y08","Y24",1,0.29165604535622
"Y08","Y25",1,0.222777982681253
"Y08","Y26",1,0.186800861927797
"Y08","Y27",1,0.102047727508132
"Y08","Y28",1,0.0725787771695784
