"from","to","trial","spatial_weight","prospect_weight"
"Y01","Y02",1,0.95554809662824,1
"Y01","Y03",1,0.871631828463473,0
"Y01","Y04",1,0.853300273467058,0
"Y01","Y05",1,0.828713578101158,0
"Y01","Y06",1,0.817929852857505,0
"Y01","Y07",1,0.796554803184222,0
"Y01","Y08",1,0.771469808981751,0
"Y01","Y09",1,0.735390633503133,0
"Y01","Y10",1,0.735738499645472,0
"Y01","Y11",1,0.866474956618597,1
"Y01","Y12",1,0.701430679756547,0
"Y01","Y14",1,0.412897759915611,0
"Y01","Y16",1,0.526348725713639,0
"Y01","Y17",1,0.516061962155937,0
"Y01","Y18",1,0.476914184094634,0
"Y01","Y19",1,0.748871031280391,0
"Y01","Y21",1,0.716145799401628,0
"Y01","Y22",1,0.710758657837945,0
"Y01","Y23",1,0.51088944373504,0
"Y01","Y26",1,0.372026990875771,0
"Y01","Y27",1,0.297909270885379,0
"Y01","Y28",1,0.271583233473629,0
"Y01","Y29",1,0.239879052247539,0
"Y01","Y30",1,0.236472510099393,0
"Y01","Y31",1,0.155869074024267,0
"Y01","Y33",1,0.264328220509941,0
"Y01","Y35",1,0.442206537696884,0
"Y02","Y01",1,0.95554809662824,0
"Y02","Y03",1,0.924291301689549,0
"Y02","Y04",1,0.904586179180485,0
"Y02","Y05",1,0.878227001527964,0
"Y02","Y06",1,0.865875567254996,0
"Y02","Y07",1,0.842303347489184,0
"Y02","Y08",1,0.814334921122435,0
"Y02","Y09",1,0.777636385704684,0
"Y02","Y10",1,0.779063865165345,0
"Y02","Y11",1,0.913634145416917,0
"Y02","Y12",1,0.7473487099644,0
"Y02","Y14",1,0.458037767963032,0
"Y02","Y16",1,0.567105839806364,0
"Y02","Y17",1,0.55591382685877,0
"Y02","Y18",1,0.51484910275153,0
"Y02","Y19",1,0.781947365551239,0
"Y02","Y21",1,0.739314272722541,0
"Y02","Y22",1,0.728798303808355,0
"Y02","Y23",1,0.520741945029453,0
"Y02","Y26",1,0.379884300413836,0
"Y02","Y27",1,0.30425584064574,0
"Y02","Y28",1,0.277585680240882,0
"Y02","Y29",1,0.245725606234839,0
"Y02","Y30",1,0.245353614733405,0
"Y02","Y31",1,0.160002082643985,0
"Y02","Y33",1,0.257588975960303,0
"Y02","Y35",1,0.445313108643614,0
"Y03","Y01",1,0.871631828463473,0
"Y03","Y02",1,0.924291301689549,0
