"from","to","trial","spatial_weight"
"Y01","Y02",1,0.976157880580146
"Y01","Y03",1,0.932058584365341
"Y01","Y04",1,0.922425068820089
"Y01","Y05",1,0.909504380310025
"Y01","Y06",1,0.903837365984683
"Y01","Y07",1,0.892604446936169
"Y01","Y08",1,0.879421894684091
"Y01","Y09",1,0.860461730208074
"Y01","Y10",1,0.860644539243671
"Y01","Y11",1,0.929348568488772
"Y01","Y12",1,0.842615249514114
"Y01","Y14",1,0.690986739595102
"Y01","Y16",1,0.75060697600456
"Y01","Y17",1,0.74520112272791
"Y01","Y18",1,0.724628360155972
"Y01","Y19",1,0.867545887638734
"Y01","Y20",1,0.858181807850288
"Y01","Y21",1,0.85034827237436
"Y01","Y22",1,0.847517246200729
"Y01","Y23",1,0.742482884333755
"Y01","Y24",1,0.718979511508758
"Y01","Y25",1,0.685414989741415
"Y01","Y26",1,0.669508518627556
"Y01","Y27",1,0.630558510957952
"Y01","Y28",1,0.616723771313629
"Y01","Y29",1,0.600062733952053
"Y01","Y30",1,0.598272543390142
"Y01","Y31",1,0.555914191652804
"Y01","Y32",1,0.578896548306908
"Y01","Y33",1,0.612911149843144
"Y01","Y34",1,0.704624511018115
"Y01","Y35",1,0.706388955414953
"Y02","Y01",1,0.976157880580146
"Y02","Y03",1,0.959731951628917
"Y02","Y04",1,0.949376605121253
"Y02","Y05",1,0.935524449768076
"Y02","Y06",1,0.929033580112007
"Y02","Y07",1,0.916646014212961
"Y02","Y08",1,0.901948173782456
"Y02","Y09",1,0.882662526083499
"Y02","Y10",1,0.883412688608037
"Y02","Y11",1,0.954131451254526
"Y02","Y12",1,0.866745884253024
"Y02","Y14",1,0.714708511660959
"Y02","Y16",1,0.772025469540361
"Y02","Y17",1,0.766143893714721
"Y02","Y18",1,0.744563746360829
"Y02","Y19",1,0.884928012637978
"Y02","Y20",1,0.872486781525311
"Y02","Y21",1,0.862523663274938
"Y02","Y22",1,0.856997359040081
"Y02","Y23",1,0.747660526077617
"Y02","Y24",1,0.723863623132443
"Y02","Y25",1,0.69007448827949
"Y02","Y26",1,0.673637656259012
"Y02","Y27",1,0.633893731481111
"Y02","Y28",1,0.619878149883978
"Y02","Y29",1,0.603135188456531
"Y02","Y30",1,0.602939701171765
"Y02","Y31",1,0.558086151576253
"Y02","Y32",1,0.579199901792656
"Y02","Y33",1,0.609369572647707
"Y02","Y34",1,0.708129103020548
"Y02","Y35",1,0.708021506473148
"Y03","Y01",1,0.932058584365341
"Y03","Y02",1,0.959731951628917
"Y03","Y04",1,0.991160594223165
"Y03","Y05",1,0.975614666794115
"Y03","Y06",1,0.967285546955239
"Y03","Y07",1,0.95302344561094
"Y03","Y08",1,0.935954884740168
"Y03","Y09",1,0.917239223956641
"Y03","Y10",1,0.919140871632161
"Y03","Y11",1,0.968746032156432
"Y03","Y12",1,0.895257283427431
"Y03","Y14",1,0.745530923166253
"Y03","Y16",1,0.796682660008719
"Y03","Y17",1,0.78984992618851
"Y03","Y18",1,0.766479392307845
"Y03","Y19",1,0.895113388755295
"Y03","Y20",1,0.877522769733062
"Y03","Y21",1,0.864347046674543
"Y03","Y22",1,0.854452089044889
"Y03","Y23",1,0.742448617493818
"Y03","Y24",1,0.718692968674932
"Y03","Y25",1,0.685139473983891
"Y03","Y26",1,0.668103336487057
"Y03","Y27",1,0.627606381578997
"Y03","Y28",1,0.613458399833053
"Y03","Y29",1,0.596754696693877
"Y03","Y30",1,0.599095877213324
"Y03","Y31",1,0.550683585404277
"Y03","Y32",1,0.568744936099632
"Y03","Y33",1,0.592936349164388
"Y03","Y34",1,0.701065657158325
"Y03","Y35",1,0.698062176329678
"Y04","Y01",1,0.922425068820089
"Y04","Y02",1,0.949376605121253
"Y04","Y03",1,0.991160594223165
"Y04","Y05",1,0.988516447819627
"Y04","Y06",1,0.980154000523582
"Y04","Y07",1,0.965837558618176
"Y04","Y08",1,0.948648839731255
"Y04","Y09",1,0.930067141263555
"Y04","Y10",1,0.932024929563426
"Y04","Y11",1,0.957616331657988
"Y04","Y12",1,0.892337742309684
"Y04","Y14",1,0.745040416125877
"Y04","Y16",1,0.793507057652533
"Y04","Y17",1,0.786384230500242
"Y04","Y18",1,0.762542565054523
"Y04","Y19",1,0.886524010160874
"Y04","Y20",1,0.868125899213669
"Y04","Y21",1,0.85449342300288
"Y04","Y22",1,0.843932006817023
"Y04","Y23",1,0.73203559639171
"Y04","Y24",1,0.708349396724365
"Y04","Y25",1,0.674910407895629
"Y04","Y26",1,0.657801983605199
"Y04","Y27",1,0.617238731349991
"Y04","Y28",1,0.603086953829095
"Y04","Y29",1,0.586410712693811
"Y04","Y30",1,0.589202205552097
"Y04","Y31",1,0.540213485977538
