"id","time","trial","t_end"
"X21",93,1,117
"X22",93,1,117
"X23",93,1,117
"X25",93,1,117
"X31",98,1,117
"X32",105,1,117
"X33",93,1,117
"X35",93,1,117
"X36",93,1,117
"X38",93,1,117
"X39",93,1,117
"Y01",102,1,117
"Y02",102,1,117
"Y03",99,1,117
"Y04",78,1,117
"Y05",99,1,117
"Y06",85,1,117
"Y07",99,1,117
"Y08",85,1,117
"Y09",85,1,117
"Y10",78,1,117
"Y11",109,1,117
"Y14",102,1,117
"Y16",79,1,117
"Y17",99,1,117
"Y18",99,1,117
"Y19",85,1,117
"Y20",102,1,117
"Y21",102,1,117
"Y22",102,1,117
"Y23",109,1,117
"Y24",99,1,117
"Y25",86,1,117
"Y26",102,1,117
"Y27",72,1,117
"Y28",86,1,117
"Y29",99,1,117
"Y30",105,1,117
"Z05",105,1,117
"Z06",92,1,117
"Z07",98,1,117
"Z08",112,1,117
"Z09",98,1,117
"Z10",109,1,117
"Z11",109,1,117
"Z13",92,1,117
"Z14",92,1,117
"Z15",98,1,117
"Z16",105,1,117
"Z18",109,1,117
"Z19",79,1,117
"Z22",116,1,117
"Z23",92,1,117
"Z24",98,1,117
"Z25",98,1,117
"Z27",98,1,117
"Z28",79,1,117
"Z29",79,1,117
"Z30",79,1,117
"Z31",79,1,117
"Z32",79,1,117
"Z33",79,1,117
"X23",87,2,114
"X25",90,2,114
"X31",93,2,114
"X32",100,2,114
"X33",90,2,114
"X36",90,2,114
"X38",90,2,114
"Y01",71,2,114
"Y02",86,2,114
"Y03",80,2,114
"Y05",71,2,114
"Y06",80,2,114
"Y08",98,2,114
"Y09",71,2,114
"Y10",98,2,114
"Y11",71,2,114
"Y14",98,2,114
"Y16",101,2,114
"Y17",71,2,114
"Y18",71,2,114
"Y19",71,2,114
"Y20",71,2,114
"Y21",71,2,114
"Y22",80,2,114
"Y23",86,2,114
"Y24",86,2,114
"Y26",71,2,114
"Y27",71,2,114
"Y28",80,2,114
"Y29",80,2,114
"Y30",80,2,114
"Y31",98,2,114
"Y32",98,2,114
"Y33",98,2,114
"Y34",80,2,114
"Y35",98,2,114
"Z05",73,2,114
"Z06",80,2,114
"Z07",73,2,114
"Z09",73,2,114
"Z10",80,2,114
"Z11",104,2,114
"Z14",100,2,114
"Z15",73,2,114
"Z16",80,2,114
"Z17",73,2,114
"Z18",80,2,114
"Z19",73,2,114
"Z20",80,2,114
"Z21",104,2,114
"Z22",93,2,114
"Z23",80,2,114
"Z24",80,2,114
"Z25",100,2,114
"Z29",93,2,114
"Z30",100,2,114
"Z31",111,2,114
"Z32",93,2,114
"Z33",112,2,114
"Z35",80,2,114
"X27",78,3,109
"X31",89,3,109
"X33",89,3,109
"X38",78,3,109
"X39",78,3,109
"Y01",77,3,109
"Y02",90,3,109
"Y03",90,3,109
"Y04",90,3,109
"Y05",94,3,109
"Y06",100,3,109
"Y07",90,3,109
"Y08",77,3,109
"Y09",95,3,109
"Y10",94,3,109
"Y11",90,3,109
"Y14",103,3,109
"Y17",90,3,109
"Y18",77,3,109
"Y19",94,3,109
"Y20",77,3,109
"Y22",77,3,109
"Y23",90,3,109
"Y26",90,3,109
"Y28",90,3,109
"Y29",77,3,109
"Y31",77,3,109
"Y34",77,3,109
"Z02",78,3,109
"Z03",96,3,109
"Z06",78,3,109
"Z07",78,3,109
"Z08",85,3,109
"Z09",108,3,109
"Z10",101,3,109
"Z11",78,3,109
"Z13",100,3,109
"Z14",78,3,109
"Z15",78,3,109
"Z18",78,3,109
"Z19",85,3,109
"Z20",98,3,109
"Z21",96,3,109
"Z23",78,3,109
"Z24",78,3,109
"Z25",78,3,109
"X23",89,4,100
"X25",89,4,100
"X31",89,4,100
"X32",75,4,100
"X35",89,4,100
"X36",89,4,100
"X38",82,4,100
"X39",82,4,100
"Y01",90,4,100
"Y02",83,4,100
"Y03",83,4,100
"Y04",83,4,100
"Y05",83,4,100
"Y06",74,4,100
"Y07",83,4,100
"Y08",74,4,100
"Y09",99,4,100
"Y10",90,4,100
"Y11",76,4,100
"Y14",83,4,100
"Y17",90,4,100
"Y18",83,4,100
"Y19",83,4,100
"Y20",74,4,100
"Y21",96,4,100
"Y22",83,4,100
"Y23",74,4,100
"Y26",99,4,100
"Y27",83,4,100
"Y28",74,4,100
"Y30",83,4,100
"Y31",74,4,100
"Y32",90,4,100
"Y34",83,4,100
"Y35",83,4,100
"Z02",83,4,100
"Z03",76,4,100
"Z05",90,4,100
"Z06",76,4,100
"Z07",76,4,100
"Z08",90,4,100
"Z10",76,4,100
"Z11",76,4,100
"Z14",83,4,100
"Z15",90,4,100
"Z16",90,4,100
"Z17",90,4,100
"Z18",99,4,100
"Z19",99,4,100
"Z20",76,4,100
"Z21",76,4,100
"Z22",83,4,100
"Z23",83,4,100
"Z24",96,4,100
"Z25",76,4,100
"Z26",76,4,100
"Z27",90,4,100
"Z28",90,4,100
"Z30",90,4,100
"Z31",83,4,100
"Z32",76,4,100
"Z33",83,4,100
"X23",91,5,96
"X25",81,5,96
"X31",86,5,96
"X32",86,5,96
"X33",94,5,96
"X35",86,5,96
"X36",91,5,96
"X38",81,5,96
"X39",81,5,96
"Y01",86,5,96
"Y02",86,5,96
"Y03",86,5,96
"Y04",80,5,96
"Y05",74,5,96
"Y06",74,5,96
"Y07",86,5,96
"Y08",80,5,96
"Y09",80,5,96
"Y10",86,5,96
"Y11",80,5,96
"Y12",91,5,96
"Y14",74,5,96
"Y16",74,5,96
