"id","trial","time","t_end"
"X18",1,57,56
"X20",1,57,56
"X21",1,57,56
"X22",1,57,56
"X23",1,47,56
"X25",1,47,56
"X27",1,50,56
"X31",1,57,56
"X32",1,57,56
"X33",1,57,56
"X35",1,57,56
"X36",1,57,56
"X38",1,57,56
"X39",1,57,56
"Y01",1,57,56
"Y02",1,48,56
"Y03",1,57,56
"Y04",1,57,56
"Y05",1,57,56
"Y06",1,27,56
"Y07",1,44,56
"Y08",1,44,56
"Y09",1,40,56
"Y10",1,35,56
"Y11",1,57,56
"Y12",1,57,56
"Y14",1,57,56
"Y16",1,57,56
"Y17",1,57,56
"Y18",1,57,56
"Y19",1,57,56
"Y20",1,39,56
"Y21",1,57,56
"Y22",1,57,56
"Y23",1,57,56
"Y24",1,57,56
"Y25",1,57,56
"Y26",1,51,56
"Y27",1,57,56
"Y28",1,57,56
"Y29",1,57,56
"Y30",1,57,56
"Y31",1,57,56
"Y32",1,57,56
"Y33",1,57,56
"Y34",1,40,56
"Y35",1,57,56
"Z02",1,57,56
"Z03",1,57,56
"Z05",1,57,56
"Z06",1,57,56
"Z07",1,57,56
"Z08",1,57,56
"Z10",1,57,56
"Z11",1,57,56
"Z13",1,57,56
"Z14",1,57,56
"Z15",1,48,56
"Z16",1,41,56
"Z17",1,48,56
"Z18",1,57,56
"Z19",1,57,56
"Z20",1,57,56
"Z21",1,48,56
"Z22",1,57,56
"Z23",1,33,56
"Z24",1,57,56
"Z26",1,57,56
"Z27",1,57,56
"Z28",1,57,56
"Z29",1,57,56
"Z30",1,57,56
"Z31",1,57,56
"Z32",1,57,56
"Z33",1,57,56
"Z35",1,33,56
"Z38",1,57,56
"Z39",1,51,56
"Z40",1,57,56
"Z41",1,48,56
"Z42",1,57,56
"Z43",1,57,56
"Z44",1,57,56
"Z45",1,57,56
"X18",2,57,56
"X20",2,55,56
"X21",2,57,56
"X22",2,55,56
"X23",2,45,56
"X25",2,44,56
"X27",2,33,56
"X31",2,57,56
"X32",2,33,56
"X33",2,52,56
"X35",2,57,56
"X36",2,57,56
"X38",2,57,56
"X39",2,57,56
"Y01",2,57,56
"Y02",2,57,56
"Y03",2,45,56
"Y04",2,57,56
"Y05",2,57,56
"Y06",2,45,56
"Y07",2,20,56
"Y08",2,57,56
"Y09",2,57,56
"Y10",2,57,56
"Y11",2,57,56
"Y12",2,52,56
"Y14",2,55,56
"Y16",2,57,56
"Y17",2,57,56
"Y18",2,57,56
"Y19",2,57,56
"Y20",2,57,56
"Y21",2,57,56
"Y22",2,57,56
"Y23",2,57,56
"Y24",2,57,56
"Y25",2,57,56
"Y26",2,57,56
"Y27",2,57,56
"Y28",2,57,56
"Y29",2,57,56
"Y30",2,57,56
"Y31",2,57,56
"Y32",2,57,56
"Y33",2,57,56
"Y34",2,57,56
"Y35",2,57,56
"Z02",2,57,56
"Z07",2,57,56
"Z10",2,27,56
"Z11",2,57,56
"Z16",2,38,56
"Z20",2,57,56
"Z21",2,57,56
"Z22",2,57,56
"Z27",2,57,56
"Z28",2,57,56
"Z29",2,57,56
"Z31",2,57,56
"Z32",2,57,56
"Z33",2,57,56
"Z39",2,33,56
"Z42",2,57,56
"Z43",2,57,56
"Z45",2,57,56
