"ID","Date","BOX","Eggs","Chicks","Twigs","OBSERVER","NOTES","Field1","year","box_year","Few","start","site","site_year","year_z","start_first_check","start_first_check_z","start_vs_first_check","female_JID","male_JID","pair_ID","female_age_24","male_age_24","female_age","male_age","pair_age","pair_age_z","female_body_cond","male_body_cond","box_attached","box_substrate","fem_JID_year","male_JID_year","fem_prev_owner","male_prev_owner","mean_start_site_year","start_diff_from_mean","start_diff_from_mean_abs","fem_prev_owner_binary","male_prev_owner_binary","box_attached_binary"
6418,2014-03-14,"X01","0","0","FEW","AC","c.30","",2014,"X01_2014","FEW",73,"X","X_2014",-0.842419903029165,73,0.0625568469379311,0,"J808",NA,"J808_NA",0,NA,-10,NA,-10,-0.931027934104549,2.86578934917592,NA,"tree","soft","J808_2014","NA_2014",0,NA,95.25,-22.25,22.25,0,NA,"tree"
16031,2016-03-14,"X01","0","0","FEW","NR","Twigs in the corners","",2016,"X01_2016","FEW",74,"X","X_2016",-0.307155782337731,75,0.32039985083862,-1,"J1874","J1887","J1874_J1887",0,0,-8,-8,-8,-0.931027934104549,-5.4118148481149,12.7447885996597,"tree","soft","J1874_2016","J1887_2016",0,0,84.2222222222222,-10.2222222222222,10.2222222222222,0,0,"tree"
7410,2014-04-23,"X09","0","0","FEW","GM","Twig ring, slightly filled out","",2014,"X09_2014","FEW",113,"X","X_2014",-0.842419903029165,73,0.0625568469379311,40,NA,NA,"NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,"tree","soft","NA_2014","NA_2014",NA,NA,95.25,17.75,17.75,NA,NA,"tree"
8928,2015-04-06,"X09","0","0","FEW","ALG","","",2015,"X09_2015","FEW",96,"X","X_2015",-0.574787842683448,78,0.707164356689652,18,NA,NA,"NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,"tree","soft","NA_2015","NA_2015",NA,NA,86.1428571428571,9.85714285714286,9.85714285714286,NA,NA,"tree"
4551,2013-04-15,"X10","0","0","FEW","GM","All grass. Base obscured.","",2013,"X10_2013","FEW",105,"X","X_2013",-1.11005196337488,71,-0.195286156962757,34,NA,NA,"NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,"tree","soft","NA_2013","NA_2013",NA,NA,95,10,10,NA,NA,"tree"
7223,2014-04-21,"X15","0","0","FEW","MK","","",2014,"X15_2014","FEW",111,"X","X_2014",-0.842419903029165,73,0.0625568469379311,38,NA,NA,"NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,"tree","soft","NA_2014","NA_2014",NA,NA,95.25,15.75,15.75,NA,NA,"tree"
4317,2013-04-03,"X21","0","0","FEW","GM","7 twigs","",2013,"X21_2013","FEW",93,"X","X_2013",-1.11005196337488,71,-0.195286156962757,22,NA,NA,"NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,"tree","soft","NA_2013","NA_2013",NA,NA,95,-2,2,NA,NA,"tree"
4318,2013-04-03,"X22","0","0","FEW","GM","7 twigs","",2013,"X22_2013","FEW",93,"X","X_2013",-1.11005196337488,71,-0.195286156962757,22,NA,NA,"NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,"tree","soft","NA_2013","NA_2013",NA,NA,95,-2,2,NA,NA,"tree"
4319,2013-04-03,"X23","0","0","FEW","GM","<30 twigs","",2013,"X23_2013","FEW",93,"X","X_2013",-1.11005196337488,71,-0.195286156962757,22,NA,NA,"NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,"tree","soft","NA_2013","NA_2013",NA,NA,95,-2,2,NA,NA,"tree"
6647,2014-03-28,"X23","0","0","FEW","AC","early ring","",2014,"X23_2014","FEW",87,"X","X_2014",-0.842419903029165,73,0.0625568469379311,14,NA,NA,"NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,"tree","soft","NA_2014","NA_2014",NA,NA,95.25,-8.25,8.25,NA,NA,"tree"
12952,2016-03-29,"X23","0","0","FEW","LvW","<10, front","",2016,"X23_2016","FEW",89,"X","X_2016",-0.307155782337731,75,0.32039985083862,14,"J1875",NA,"J1875_NA",0,NA,-8,NA,-8,-0.931027934104549,15.8447885996597,NA,"tree","soft","J1875_2016","NA_2016",0,NA,84.2222222222222,4.77777777777777,4.77777777777777,0,NA,"tree"
16295,2017-04-01,"X23","0","0","FEW","VL","","",2017,"X23_2017","FEW",91,"X","X_2017",-0.0395237219920131,81,1.09392886254068,10,"J1875",NA,"J1875_NA",0,NA,-7,NA,-7,-0.502673158639728,15.8447885996597,NA,"tree","soft","J1875_2017","NA_2017",1,NA,86.3,4.7,4.7,1,NA,"tree"
7230,2014-04-21,"X24","0","0","FEW","MK","","",2014,"X24_2014","FEW",111,"X","X_2014",-0.842419903029165,73,0.0625568469379311,38,NA,NA,"NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,"tree","soft","NA_2014","NA_2014",NA,NA,95.25,15.75,15.75,NA,NA,"tree"
4321,2013-04-03,"X25","0","0","FEW","GM","c.30 piled twigs and grass","",2013,"X25_2013","FEW",93,"X","X_2013",-1.11005196337488,71,-0.195286156962757,22,NA,"J293","NA_J293",NA,0,NA,-11,-11,-0.931027934104549,NA,12.0447885996597,"tree","soft","NA_2013","J293_2013",NA,0,95,-2,2,NA,0,"tree"
6652,2014-03-31,"X25","0","0","FEW","GM","c.10 PV","",2014,"X25_2014","FEW",90,"X","X_2014",-0.842419903029165,73,0.0625568469379311,17,NA,"J293","NA_J293",NA,0,NA,-10,-10,-0.502673158639728,NA,12.0447885996597,"tree","soft","NA_2014","J293_2014",NA,1,95.25,-5.25,5.25,NA,1,"tree"
12951,2016-03-29,"X25","0","0","FEW","LvW","<20, front. Grass","",2016,"X25_2016","FEW",89,"X","X_2016",-0.307155782337731,75,0.32039985083862,14,"J1342","J293","J1342_J293",0,0,-8,-8,-8,-0.0743183831749076,-2.16731147529194,12.0447885996597,"tree","soft","J1342_2016","J293_2016",1,3,84.2222222222222,4.77777777777777,4.77777777777777,1,1,"tree"
16117,2017-03-22,"X25","0","0","FEW","NJ","Mixture of large & small twigs. Few dead leaves","",2017,"X25_2017","FEW",81,"X","X_2017",-0.0395237219920131,81,1.09392886254068,0,"J1342","J293","J1342_J293",0,0,-7,-7,-7,0.354036392289913,-2.16731147529194,12.0447885996597,"tree","soft","J1342_2017","J293_2017",2,4,86.3,-5.3,5.3,1,1,"tree"
21040,2018-03-22,"X25","0","0","FEW","NAF","","",2018,"X25_2018","FEW",81,"X","X_2018",0.228108338353704,76,0.449321352788964,5,NA,NA,"NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,"tree","soft","NA_2018","NA_2018",NA,NA,81.5714285714286,-0.571428571428569,0.571428571428569,NA,NA,"tree"
8595,2015-03-19,"X27","0","0","FEW","VL/NS","approx 30 twigs, ring","",2015,"X27_2015","FEW",78,"X","X_2015",-0.574787842683448,78,0.707164356689652,0,"J1321","J1354","J1321_J1354",0,0,-9,-9,-9,-0.931027934104549,12.3390873254821,24.729489124321,"tree","soft","J1321_2015","J1354_2015",0,0,86.1428571428571,-8.14285714285714,8.14285714285714,0,0,"tree"
21041,2018-03-22,"X27","0","0","FEW","NAF","HALF RING","",2018,"X27_2018","FEW",81,"X","X_2018",0.228108338353704,76,0.449321352788964,5,NA,NA,"NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,"tree","soft","NA_2018","NA_2018",NA,NA,81.5714285714286,-0.571428571428569,0.571428571428569,NA,NA,"tree"
4324,2013-04-03,"X28","0","0","FEW","GM","c.15 twigs","",2013,"X28_2013","FEW",93,"X","X_2013",-1.11005196337488,71,-0.195286156962757,22,NA,NA,"NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,"tree","soft","NA_2013","NA_2013",NA,NA,95,-2,2,NA,NA,"tree"
6676,2014-04-03,"X28","0","0","FEW","AC","c.10","",2014,"X28_2014","FEW",93,"X","X_2014",-0.842419903029165,73,0.0625568469379311,20,NA,NA,"NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,"tree","soft","NA_2014","NA_2014",NA,NA,95.25,-2.25,2.25,NA,NA,"tree"
4363,2013-04-08,"X29","0","0","FEW","GM","12 twigs. Likely to be squirrel","",2013,"X29_2013","FEW",98,"X","X_2013",-1.11005196337488,71,-0.195286156962757,27,NA,NA,"NA_NA",NA,NA,NA,NA,NA,NA,NA,NA,"tree","soft","NA_2013","NA_2013",NA,NA,95,3,3,NA,NA,"tree"
4365,2013-04-08,"X31","0","0","FEW","GM","Lid on ground, repaired and replaced. Still had 15 twigs deposited without roof!","",2013,"X31_2013","FEW",98,"X","X_2013",-1.11005196337488,71,-0.195286156962757,27,"J294",NA,"J294_NA",0,NA,-11,NA,-11,-1.35938270956937,-11.4826109506306,NA,"tree","soft","J294_2013","NA_2013",0,NA,95,3,3,0,NA,"tree"
6678,2014-04-03,"X31","0","0","FEW","AC","c.20","",2014,"X31_2014","FEW",93,"X","X_2014",-0.842419903029165,73,0.0625568469379311,20,"J802",NA,"J802_NA",0,NA,-10,NA,-10,-0.931027934104549,-7.08511282442112,NA,"tree","soft","J802_2014","NA_2014",0,NA,95.25,-2.25,2.25,0,NA,"tree"
