"nest1","nest2","weight","site_comb","site_same_other","site_same_semi_other","dyad_ID","year","nest1_anthro","nest2_anthro","anthro","anthro_binary"
"X20","X18",0.428571428571428,"XX","same","same","X18_X20",2024,0,0,0,1
"X21","X18",0.714285714285714,"XX","same","same","X18_X21",2024,0,0,0,1
"X22","X18",0.714285714285714,"XX","same","same","X18_X22",2024,0,0,0,1
"X23","X18",0.285714285714286,"XX","same","same","X18_X23",2024,1,0,1,0
"X25","X18",0.714285714285714,"XX","same","same","X18_X25",2024,1,0,1,0
"X27","X18",0.625,"XX","same","same","X18_X27",2024,1,0,1,0
"X31","X18",0.777777777777778,"XX","same","same","X18_X31",2024,1,0,1,0
"X32","X18",0.714285714285714,"XX","same","same","X18_X32",2024,0,0,0,1
"X33","X18",0.571428571428571,"XX","same","same","X18_X33",2024,0,0,0,1
"X35","X18",0.5,"XX","same","same","X18_X35",2024,0,0,0,1
"X36","X18",0.571428571428571,"XX","same","same","X18_X36",2024,0,0,0,1
"X38","X18",0.5,"XX","same","same","X18_X38",2024,0,0,0,1
"X39","X18",0.857142857142857,"XX","same","same","X18_X39",2024,1,0,1,0
"Y01","X18",0.714285714285714,"YX","other","other","X18_Y01",2024,1,0,1,0
"Y02","X18",0.666666666666667,"YX","other","other","X18_Y02",2024,1,0,1,0
"Y03","X18",0.714285714285714,"YX","other","other","X18_Y03",2024,0,0,0,1
"Y04","X18",0.625,"YX","other","other","X18_Y04",2024,1,0,1,0
"Y05","X18",0.375,"YX","other","other","X18_Y05",2024,1,0,1,0
"Y06","X18",0.666666666666667,"YX","other","other","X18_Y06",2024,1,0,1,0
"Y07","X18",0.75,"YX","other","other","X18_Y07",2024,1,0,1,0
"Y08","X18",0.777777777777778,"YX","other","other","X18_Y08",2024,1,0,1,0
"Y09","X18",0.666666666666667,"YX","other","other","X18_Y09",2024,1,0,1,0
"Y10","X18",0.666666666666667,"YX","other","other","X18_Y10",2024,1,0,1,0
"Y11","X18",0.75,"YX","other","other","X18_Y11",2024,1,0,1,0
"Y12","X18",0.857142857142857,"YX","other","other","X18_Y12",2024,1,0,1,0
"Y14","X18",0.875,"YX","other","other","X18_Y14",2024,1,0,1,0
"Y16","X18",0.428571428571428,"YX","other","other","X18_Y16",2024,0,0,0,1
"Y17","X18",0.625,"YX","other","other","X18_Y17",2024,1,0,1,0
"Y18","X18",0.75,"YX","other","other","X18_Y18",2024,1,0,1,0
"Y19","X18",0.714285714285714,"YX","other","other","X18_Y19",2024,1,0,1,0
"Y20","X18",0.625,"YX","other","other","X18_Y20",2024,1,0,1,0
"Y21","X18",0.875,"YX","other","other","X18_Y21",2024,1,0,1,0
"Y22","X18",0.428571428571428,"YX","other","other","X18_Y22",2024,0,0,0,1
"Y23","X18",1,"YX","other","other","X18_Y23",2024,0,0,0,1
