"nest1","nest2","weight","site_comb","site_same_other","site_same_semi_other","dyad_ID","spatial","spatial_z","spatial_weight","prospect_weight","spatial_weight_z","prospect_weight_z","year","nest1_anthro","nest2_anthro","anthro","anthro_binary"
"X20","X18",0.428571428571428,"XX","same","same","X18_X20",13.8524396683373,-1.3294649636293,0.971031483778442,0,1.32920618699159,NA,"2024",0,0,0,1
"X21","X18",0.714285714285714,"XX","same","same","X18_X21",34.2480822168319,-1.07446347694211,0.915637139271569,0,1.07425433563074,NA,"2024",0,0,0,1
"X22","X18",0.714285714285714,"XX","same","same","X18_X22",45.8108811187886,-0.929896768477133,0.884232702548592,0,0.929715766671335,NA,"2024",0,0,0,1
"X23","X18",0.285714285714286,"XX","same","same","X18_X23",53.8870474052107,-0.828922533177904,0.862297922288488,0,0.828761185724662,NA,"2024",1,0,1,0
"X25","X18",0.714285714285714,"XX","same","same","X18_X25",56.0366767002071,-0.802046269547226,0.856459552379525,0,0.801890153483548,NA,"2024",1,0,1,0
"X27","X18",0.625,"XX","same","same","X18_X27",76.450081807943,-0.546822702138468,0.801016964953922,0,0.546716264628528,NA,"2024",1,0,1,0
"X31","X18",0.777777777777778,"XX","same","same","X18_X31",99.7218080060367,-0.255862279382419,0.737811208370295,0,0.255812476505182,NA,"2024",1,0,1,0
"X32","X18",0.714285714285714,"XX","same","same","X18_X32",97.9158486528048,-0.278441725892907,0.742716174435496,0,0.278387527989544,NA,"2024",0,0,0,1
"X33","X18",0.571428571428571,"XX","same","same","X18_X33",105.678686950713,-0.181384950056001,0.721632389602387,0,0.181349643982663,NA,"2024",0,0,0,1
"X35","X18",0.5,"XX","same","same","X18_X35",117.075739570687,-0.0388905248357398,0.69067811798811,0,0.0388829549038265,NA,"2024",0,0,0,1
"X36","X18",0.571428571428571,"XX","same","same","X18_X36",113.947323268558,-0.0780043113282531,0.699174862819218,0,0.0779891280071694,NA,"2024",0,0,0,1
"X38","X18",0.5,"XX","same","same","X18_X38",119.579425645167,-0.0075875801174111,0.683878133696513,0,0.00758610321615776,NA,"2024",0,0,0,1
"X39","X18",0.857142857142857,"XX","same","same","X18_X39",128.432372145651,0.103098538930707,0.659833626778789,0,-0.103078471088389,NA,"2024",1,0,1,0
"X21","X20",0.6,"XX","same","same","X20_X21",22.8901288794701,-1.21646905386201,0.946485217657275,0,1.21623227156217,NA,"2024",0,0,0,1
"X22","X20",0.6,"XX","same","same","X20_X22",32.2475653647421,-1.09947542595096,0.921070521398805,0,1.09926141613366,NA,"2024",0,0,0,1
"X23","X20",0.666666666666667,"XX","same","same","X20_X23",42.6265727042798,-0.969709359712716,0.892881249752242,0,0.969520608497358,NA,"2024",1,0,1,0
"X25","X20",0.6,"XX","same","same","X20_X25",43.1841320904303,-0.962738337738452,0.891366924491539,0,0.96255094341303,NA,"2024",1,0,1,0
"X27","X20",0.5,"XX","same","same","X20_X27",65.1276656770891,-0.688383966481764,0.831768524671219,0,0.688249974467554,NA,"2024",1,0,1,0
"X31","X20",0.333333333333333,"XX","same","same","X20_X31",91.907179132523,-0.353566579500277,0.759035655846441,0,0.353497758754224,NA,"2024",1,0,1,0
"X32","X20",0.6,"XX","same","same","X20_X32",89.0211599994293,-0.389649736370513,0.766874052588877,0,0.389573892138871,NA,"2024",0,0,0,1
"X33","X20",0.75,"XX","same","same","X20_X33",98.4705567823413,-0.271506352448655,0.741209593156909,0,0.27145350449634,NA,"2024",0,0,0,1
"X35","X20",0.333333333333333,"XX","same","same","X20_X35",106.459562719461,-0.171621860637505,0.719511539462548,0,0.171588454922222,NA,"2024",0,0,0,1
"X36","X20",0.75,"XX","same","same","X20_X36",106.269376691222,-0.173999707760123,0.720028082657673,0,0.173965839203547,NA,"2024",0,0,0,1
"X38","X20",0.6,"XX","same","same","X20_X38",110.450921687907,-0.121718923358814,0.708671051685661,0,0.121695231110733,NA,"2024",0,0,0,1
"X39","X20",0.5,"XX","same","same","X20_X39",118.448675604401,-0.0217250578056601,0.686949238573959,0,0.0217208290839061,NA,"2024",1,0,1,0
"X22","X21",0.666666666666667,"XX","same","same","X21_X22",16.8439969684524,-1.29206229013052,0.962906446516164,1,1.29181079381862,NA,"2024",0,0,0,1
"X23","X21",0.4,"XX","same","same","X21_X23",19.8110338064636,-1.25496618967918,0.954848006563679,0,1.2547219140195,NA,"2024",1,0,1,0
"X25","X21",0.666666666666667,"XX","same","same","X21_X25",22.7381685236999,-1.21836897520779,0.94689794033953,0,1.21813182309358,NA,"2024",1,0,1,0
"X27","X21",0.571428571428571,"XX","same","same","X21_X27",42.3900006159796,-0.972667159844867,0.893523776984657,0,0.972477832901984,NA,"2024",1,0,1,0
"X31","X21",0.555555555555556,"XX","same","same","X21_X31",70.0848903172192,-0.626405058483649,0.818304756179474,0,0.626283130490575,NA,"2024",1,0,1,0
"X32","X21",1,"XX","same","same","X21_X32",66.5528388819036,-0.670565391501821,0.827897769665499,0,0.670434867823407,NA,"2024",0,0,0,1
"X33","X21",0.8,"XX","same","same","X21_X33",77.0490455415444,-0.539334012229488,0.799390185933484,0,0.539229032372098,NA,"2024",0,0,0,1
"X35","X21",0.428571428571428,"XX","same","same","X21_X35",83.5804351453319,-0.457673723511493,0.781651002430902,0,0.457584638600962,NA,"2024",0,0,0,1
"X36","X21",0.8,"XX","same","same","X21_X36",84.4353064891651,-0.446985486399794,0.779329181109669,0,0.446898481924731,NA,"2024",0,0,0,1
"X38","X21",0.666666666666667,"XX","same","same","X21_X38",87.8104097412615,-0.404787436254475,0.770162437191287,0,0.404708645511878,NA,"2024",0,0,0,1
"X39","X21",0.571428571428571,"XX","same","same","X21_X39",95.580999090476,-0.307633751011465,0.749057600586687,0,0.307573870962039,NA,"2024",1,0,1,0
"X23","X22",0.4,"XX","same","same","X22_X23",20.0338669190249,-1.25218016443623,0.954242794240733,0,1.25193643106858,NA,"2024",1,0,1,0
"X25","X22",0.666666666666667,"XX","same","same","X22_X25",13.1038642917186,-1.33882420953103,0.973064606402707,0,1.33856361114228,NA,"2024",1,0,1,0
"X27","X22",0.833333333333333,"XX","same","same","X22_X27",38.2171654008412,-1.02483904808182,0.904857152284218,1,1.02463956602678,NA,"2024",1,0,1,0
"X31","X22",0.555555555555556,"XX","same","same","X22_X31",72.8415374038044,-0.591939407123083,0.810817732515714,0,0.591824187772673,NA,"2024",1,0,1,0
"X32","X22",0.666666666666667,"XX","same","same","X22_X32",67.2814201162652,-0.66145612723163,0.825918950915293,0,0.661327376646034,NA,"2024",0,0,0,1
"X33","X22",0.8,"XX","same","same","X22_X33",80.5495577109711,-0.495568006561952,0.789882832752398,0,0.495471545635187,NA,"2024",0,0,0,1
"X35","X22",0.428571428571428,"XX","same","same","X22_X35",79.5490022481529,-0.508077694840956,0.792600330564678,0,0.507978798938347,NA,"2024",0,0,0,1
"X36","X22",0.8,"XX","same","same","X22_X36",86.7145977924792,-0.41848809194133,0.773138650588893,0,0.418406634404414,NA,"2024",0,0,0,1
"X38","X22",0.666666666666667,"XX","same","same","X22_X38",87.0725495959756,-0.414012712367634,0.772166457363178,0,0.413932125950838,NA,"2024",0,0,0,1
"X39","X22",0.833333333333333,"XX","same","same","X22_X39",92.7484859393217,-0.343047936315409,0.756750675661042,0,0.34298116299384,NA,"2024",1,0,1,0
"X25","X23",0.4,"XX","same","same","X23_X25",11.6757300872021,-1.35667980513066,0.976943403451583,1,1.35641573120016,NA,"2024",1,1,2,1
"X27","X23",0.333333333333333,"XX","same","same","X23_X27",22.5903360188173,-1.22021728709285,0.947299451823432,0,1.2199797752099,NA,"2024",1,1,2,1
